sr. No,NRCan.Reference,Brand,Model,AEC,Type,Defrost,FreezerLoc,TotalVol,SizeCategory,DoorIce,RefVol,FreezerVol,Ratio,
1911,13201535,LG,LBNC15221*,364,Refrigerator,Automatic,Bottom,416,7,No,284,132,0.464788732,
1912,13201536,LG,LFCS25663*,452,Refrigerator,Automatic,Bottom,713.7,12,No,487.1,226.6,0.465202217,
1987,14106073,LG,LFXS24626*,508,Refrigerator,Automatic,Bottom,682,11,Yes,464.1,217.9,0.469510881,
1994,14398450,LG,LSXS26466*,498,Refrigerator,Automatic,Side,738.7,12,Yes,478.1,260.6,0.545074252,
1996,14398452,LG,LSXS26366*,554,Refrigerator,Automatic,Side,738.7,12,Yes,478.1,260.6,0.545074252,
2142,14985391,LG,LTNS16121*,343,Refrigerator,Automatic,Top,444,7,No,326,118,0.36196319,
2143,14985392,LG,LSXS26336*,554,Refrigerator,Automatic,Side,742,12,Yes,481.5,260.5,0.541017653,
2303,15799571,LG,LFXS32736*,546,Refrigerator,Automatic,Bottom,897.8,15,Yes,591.9,305.9,0.516810272,
2573,1360801,LG,GC131CW,330,Compact refrigerator,Manual,No freezer,94.051,1,No,94.012,0,0,
2606,16651207,LG,LSXC22386*,459,Refrigerator,Automatic,Side,615.4,10,Yes,407.5,207.9,0.510184049,
2613,16683401,LG,LUPXS3186*,579,Refrigerator,Automatic,Bottom,872.3,15,Yes,532.4,339.8,0.638241923,
2662,16763127,LG,LSXC22336*,391,Refrigerator,Automatic,Side,619.9,10,Yes,410.5,209.4,0.510109622,
2712,17589686,LG,LMXS30796*,585,Refrigerator,Automatic,Bottom,841.1,14,Yes,591.9,249.2,0.421017064,
2735,17671615,LG,LNXC23766*,526,Refrigerator,Automatic,Bottom,642.9,11,Yes,385.2,257.7,0.669003115,
2736,17671616,LG,LNXS30866*,587,Refrigerator,Automatic,Bottom,846.8,14,Yes,475.8,371,0.779739386,
2737,17671787,LG,LUPXC2386*,533,Refrigerator,Automatic,Bottom,645.8,11,Yes,402.2,243.6,0.605668821,
2757,17685884,LG,LSXC22326*,461,Refrigerator,Automatic,Side,619.7,10,Yes,410.4,209.3,0.509990253,
2799,17695562,LG,LMXC23796*,519,Refrigerator,Automatic,Bottom,637.3,11,Yes,456,181.3,0.397587719,
2951,19248124,LG,LTNS20220*,344,Refrigerator,Automatic,Top,572.1,9,No,416.3,155.8,0.374249339,
2649,16703412,LG,LUPXS3186*,612,Refrigerator,Automatic,Bottom,872.3,15,Yes,532.4,339.8,0.638241923,
237,376983,Liebherr,CS1640,394,Refrigerator,Automatic,Bottom,430,7,No,311,119,0.382636656,
397,2999412,Liebherr,CS1611,379,Refrigerator,Automatic,Bottom,439,7,No,320,119,0.371875,
399,2999414,Liebherr,CS1400,376,Refrigerator,Automatic,Bottom,396,6,No,311,85,0.273311897,
400,2999417,Liebherr,R1410,298,Refrigerator,Automatic,No freezer,391,6,No,391,0,0,
401,2999419,Liebherr,CS1311,406,Refrigerator,Automatic,Bottom,369,6,No,275,94,0.341818182,
402,2999420,Liebherr,CS1360,420,Refrigerator,Automatic,Bottom,369,6,No,275,94,0.341818182,
403,2999421,Liebherr,BF1061,410,Refrigerator,Automatic,Bottom,284,4,No,157,127,0.808917197,
404,2999423,Liebherr,RB1410,295,Refrigerator,Automatic,No freezer,363,6,No,363,0,0,
604,6121645,Liebherr,CBS2062,399,Refrigerator,Automatic,Bottom,535,9,No,365,170,0.465753425,
785,8273460,Liebherr,CS1200,395,Refrigerator,Automatic,Bottom,325,5,No,231,94,0.406926407,
875,8568701,Liebherr,CS206*,403,Refrigerator,Automatic,Bottom,552,9,No,382,170,0.445026178,
992,9019774,Liebherr,HC1070,407,Refrigerator,Automatic,Bottom,264,4,No,196,68,0.346938776,
993,9019775,Liebherr,HC1030,395,Refrigerator,Automatic,Bottom,266,4,No,198,68,0.343434343,
994,9019776,Liebherr,HRB1120,283,Refrigerator,Automatic,No freezer,308,5,No,308,0,0,
1669,10990389,Liebherr,HC154#,380,Refrigerator,Automatic,Bottom,399,6,No,278,122,0.438848921,
1677,10990397,Liebherr,HC206#,428,Refrigerator,Automatic,Bottom,552,9,No,382,170,0.445026178,
1678,10990398,Liebherr,HCB206#,424,Refrigerator,Automatic,Bottom,535,9,No,365,170,0.465753425,
1779,17004264,Liebherr,UPR503,267,Compact refrigerator,Automatic,No freezer,116,1,No,116,0,0,
2687,17004263,Liebherr,HC700B,287,Compact refrigerator,Manual,Inside,201,3,No,185,16,0.086486486,
53,19725719,Lynx,LM15REF*,204,Compact refrigerator,Automatic,No freezer,76.5,1,No,76.5,0,0,
3015,19725715,Lynx,LM24DWR,208,Compact refrigerator,Automatic,No freezer,140.2,2,No,140.2,0,0,
3016,19725716,Lynx,LM24BF*,274,Compact refrigerator,Automatic,No freezer,160.6,2,No,160.6,0,0,
3017,19725717,Lynx,LM24REF*,191,Compact refrigerator,Automatic,No freezer,148.9,2,No,148.9,0,0,
3018,19725718,Lynx,LM24REFC*,367,Compact refrigerator,Automatic,Side,158,2,No,158,28.32,0.179240506,
15,216737,Magic Chef,CTB1502ARQ,447,Refrigerator,Automatic,Top,425.4,7,No,305.2,120.2,0.393840105,
26,222012,Magic Chef,CTN1502AEW,380,Refrigerator,Automatic,Top,425.4,7,No,305.2,120.2,0.393840105,
82,223400,Magic Chef,CTB1821ARW,480,Refrigerator,Automatic,Top,513.6,8,No,369,144.6,0.391869919,
106,223424,Magic Chef,CTN1821AEW,409,Refrigerator,Automatic,Top,513.6,8,No,369,144.6,0.391869919,
158,227603,Magic Chef,CTB2121ARW,515,Refrigerator,Automatic,Top,595.7,10,No,426.9,168.8,0.395408761,
312,4252893,Magic Chef,MCBR170BF,207,Compact refrigerator,Manual,No freezer,44,0,No,44,0,0,
352,5501262,Magic Chef,MCBR265***,215,Compact refrigerator,Manual,Inside,72.5,1,No,66.3,6.2,0.093514329,
456,4280936,Magic Chef,MCR1010WEF,297,Refrigerator,Automatic,Top,281,4,No,201.2,79.9,0.397117296,
713,10300710,Magic Chef,MCBR350BEF,221,Compact refrigerator,Manual,No freezer,99,1,No,98.7,0,0,
751,7589426,Magic Chef,HMDR1030**,310,Refrigerator,Automatic,Top,282,4,No,209.3,72.6,0.346870521,
1301,9875525,Magic Chef,HMBR440**,253,Compact refrigerator,Manual,No freezer,125,2,No,125,0,0,
1484,10195169,Magic Chef,HMBR440WEF,226,Compact refrigerator,Manual,No freezer,125,2,No,125,0,0,
1790,11702246,Magic Chef,MCBM920S1,374,Refrigerator,Automatic,Bottom,260,4,No,180.3,79.7,0.442041043,
2136,6143621,Magic Chef,MCDR450BEF,294,Refrigerator,Partial automatic,Inside,121,1,No,85.5,35.6,0.416374269,
2355,9875524,Magic Chef,HMDR310**,319,Compact refrigerator,Partial automatic,Inside,87,1,No,62.1,24.7,0.397745572,
2576,2531316,Magic Chef,MCBR300KWF,331,Compact refrigerator,Manual,Inside,85.5,1,No,79.9,5.6,0.07008761,
1009,17687593,Marathon,MCR44W,228,Compact refrigerator,Manual,No freezer,125,1,No,125,0,0,
1641,16604855,Marathon,MAR32BL,259,Compact refrigerator,Automatic,No freezer,91,1,No,90.5,0,0,
2366,16604867,Marathon,MCR31BL,320,Compact refrigerator,Partial automatic,Inside,87,1,No,62.1,24.7,0.397745572,
2751,17685859,Marathon,MFF100BLS,327,Refrigerator,Automatic,Top,277.8,4,No,209.2,68.6,0.32791587,
45,10990446,Marvel,ML15RA1S***,179,Compact refrigerator,Automatic,No freezer,76.5,1,No,76.5,0,0,
49,10990447,Marvel,ML15RA1P***,195,Compact refrigerator,Automatic,No freezer,76.2,1,No,76.2,0,0,
52,13201524,Marvel,MO15RAS***1,204,Compact refrigerator,Automatic,No freezer,76.5,1,No,76.5,0,0,
630,10990450,Marvel,MP15BC1F***,219,Compact refrigerator,Automatic,No freezer,75,1,No,75,0,0,
1583,17599030,Marvel,MP15BCG***,250,Compact refrigerator,Automatic,No freezer,78.2,1,No,78.2,0,0,
1587,17599029,Marvel,ML15BCG***,256,Compact refrigerator,Automatic,No freezer,78.2,1,No,78.2,0,0,
1689,10990414,Marvel,ML24RA1P***,225,Compact refrigerator,Automatic,No freezer,143.6,2,No,143.6,0,0,
1690,10990416,Marvel,MP24RA1S***,190,Compact refrigerator,Automatic,No freezer,143.6,2,No,143.6,0,0,
1691,10990417,Marvel,ML24BR1G***,283,Compact refrigerator,Automatic,No freezer,153.2,2,No,153.2,0,0,
1692,10990418,Marvel,ML24BR1F***,263,Compact refrigerator,Automatic,No freezer,146.1,2,No,146.1,0,0,
1693,10990419,Marvel,ML24BR1P***,243,Compact refrigerator,Automatic,No freezer,148.4,2,No,148.4,0,0,
1694,10990420,Marvel,MP24BR1G***,265,Compact refrigerator,Automatic,No freezer,149.5,2,No,149.5,0,0,
1696,10990422,Marvel,ML24BC1G***,279,Compact refrigerator,Automatic,No freezer,153.2,2,No,153.2,0,0,
1697,10990423,Marvel,ML24RD1S***,242,Compact refrigerator,Automatic,No freezer,140.2,2,No,140.2,0,0,
1698,10990424,Marvel,ML24RD1P***,248,Compact refrigerator,Automatic,No freezer,140.2,2,No,140.2,0,0,
1701,10990427,Marvel,ML24BN1S***,284,Compact refrigerator,Automatic,No freezer,160.6,2,No,160.6,0,0,
1704,10990430,Marvel,ML24BN1P***,313,Compact refrigerator,Automatic,No freezer,160,2,No,160,0,0,
1716,10990443,Marvel,MA24RA1P***,201,Compact refrigerator,Automatic,No freezer,128,2,No,128,0,0,
1717,10990444,Marvel,MA24BR1G***,284,Compact refrigerator,Automatic,No freezer,136.8,2,No,136.8,0,0,
1718,10990445,Marvel,MA24BC1G***,277,Compact refrigerator,Automatic,No freezer,136.8,2,No,136.8,0,0,
1898,13201511,Marvel,ML24RA1S1**,189,Compact refrigerator,Automatic,No freezer,148.9,2,No,148.9,0,0,
1899,13201512,Marvel,ML24RA1S2**,189,Compact refrigerator,Automatic,No freezer,143.8,2,No,143.8,0,0,
1900,13201513,Marvel,ML24RFS***1,378,Compact refrigerator,Automatic,Side,138.5,2,No,109.3,29.2,0.26715462,
1901,13201514,Marvel,ML24RFP***1,417,Compact refrigerator,Automatic,Side,138.5,2,No,109.3,29.2,0.26715462,
1902,13201515,Marvel,ML24RIS***1,374,Compact refrigerator,Automatic,Side,138.5,2,No,109.3,29.2,0.26715462,
1903,13201516,Marvel,ML24RIP***1,391,Compact refrigerator,Automatic,Side,138.5,2,No,109.3,29.2,0.26715462,
1904,13201517,Marvel,ML24BC2G***,308,Compact refrigerator,Automatic,No freezer,154.6,2,No,154.6,0,0,
1905,13201518,Marvel,MO24RAS1**1,191,Compact refrigerator,Automatic,No freezer,148.9,2,No,148.9,0,0,
1906,13201520,Marvel,MO24RDS***1,208,Compact refrigerator,Automatic,No freezer,140.2,2,No,140.2,0,0,
1907,13201521,Marvel,MO24BNS***1,274,Compact refrigerator,Automatic,No freezer,160.6,2,No,160.6,0,0,
1908,13201522,Marvel,MO24BSS***1,274,Compact refrigerator,Automatic,No freezer,160.6,2,No,160.6,0,0,
2025,14643970,Marvel,AMLFDR23C-***,472,Refrigerator,Automatic,Bottom,628.354,10,No,436.648,191.706,0.439040142,
2187,15011361,Marvel,MO24RAS2**1,191,Compact refrigerator,Automatic,No freezer,143.8,2,No,143.8,0,0,
2197,15011371,Marvel,MA24RA1S1**,198,Compact refrigerator,Automatic,No freezer,132.8,2,No,132.8,0,0,
2198,15011372,Marvel,MO24RFS***,367,Compact refrigerator,Automatic,Side,138.5,2,No,109.3,29.2,0.26715462,
